title,selectable
Town and Country Planning (Control of Advertisements) (England) regulations 2007,TRUE
Town and Country Planning Act 1971 sub-section 159,FALSE
Public Health (Drainage of Trade Premises) Act 1937 section 7A,TRUE
Highways Act 1980 section 166,TRUE
Housing Act 1985 section 215,TRUE
Highways Act 1980 section 79,TRUE
District Councils (Water Supply Facilities) Act 1897 section 2,TRUE
Housing Act 1985 section 265,TRUE
Highways Act 1980 section 305,TRUE
Clean Air Act 1993 section 18,TRUE
Ancient Monuments and Archaeological Areas Act 1979 section 33(5),TRUE
Building Act 1984 section 72,TRUE
Community Infrastructure Levy Regulations 2010 regulation 66(1),FALSE
Public Health Act 1875 sub-section 23,FALSE
Coast Protection Act 1949 section 13,TRUE
Town and Country Planning Act 1990 section 201,TRUE
Building Act 1984 section 19,TRUE
"Housing Act 2004 schedule 7, section 132, paragraph 10(9)",FALSE
Building Act 1984 section 74,TRUE
Caravan Sites and Control of Development Act 1960 section 9(3),FALSE
European Communities Act 1972,TRUE
Town and Country Planning Act 1990 section 106,TRUE
Planning (Listed Buildings and Conservation Areas) Act 1990 section 69(4),TRUE
Conservation (Natural Habitats) regulations 1994 regulation 14,TRUE
Civil Aviation Act 1982 section 45,TRUE
Ancient Monuments and Archaeological Areas Act 1979 section 8(6),TRUE
"Thames Water Utilities Limited (Thames Tidway Tunnel) Order 2014, section 52(8)",FALSE
"Housing Act 2004 schedule 7, section 132, paragraph 2",FALSE
Building Act 1984 section 18,TRUE
Compulsory Purchase (Vesting Declarations) Act 1981 section 3(4),TRUE
Public Health Act 1936 section 96,TRUE
Local Government and Housing Act 1989 sub-section 119,FALSE
Housing Associations Act 1985,TRUE
Local Government and Housing Act 1989 sub-section 123,FALSE
Town and Country Planning Act 1990 section 172,TRUE
Energy Act 2013 section 123(3),TRUE
Housing Act 1985 section 375,TRUE
Underground Works (London) Act 1956 section 6(9),TRUE
Town and Country Planning Act 1990 section 215,TRUE
"Conservation of Habitats and Species regulations 2010, regulation 13",FALSE
Housing Act 1985 part IX sub-section 294,FALSE
